SEQUENCE: 
SCORE: total_score         rms        Fnat        I_sc        Irms     cen_rms dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst      fa_atr      fa_dun     fa_elec     fa_pair      fa_rep      fa_sol hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb interchain_contact interchain_env interchain_pair interchain_vdw        st_rmsd description 
SCORE:    -766.845      61.822         nan      -2.234         nan      59.606       0.000       0.000       0.000       0.000   -1191.327      31.957     -24.889     -17.935      30.594     521.019     -16.308     -12.306     -12.495     -75.155              1.000        -72.751          -1.345          0.000         53.767 complex_global_dock_00021
SCORE:    -766.062      84.611         nan      -2.303         nan      83.488       0.000       0.000       0.000       0.000   -1190.260      31.987     -24.820     -17.965      30.720     520.504     -15.878     -12.306     -12.889     -75.155             -3.000        -69.556           0.054          0.155         85.099 complex_global_dock_00022
SCORE:    -766.637      78.521         nan      -2.288         nan      76.070       0.000       0.000       0.000       0.000   -1190.021      31.792     -24.707     -18.303      30.533     520.257     -15.908     -12.306     -12.818     -75.155             -4.000        -74.863           0.539          0.016         75.567 complex_global_dock_00023
SCORE:    -766.949      85.738         nan      -1.862         nan      85.131       0.000       0.000       0.000       0.000   -1189.087      31.881     -24.479     -18.374      30.493     518.607     -15.750     -12.306     -12.780     -75.155              5.000        -73.534           0.214          0.000         84.014 complex_global_dock_00024
SCORE:    -766.425      56.214         nan      -3.554         nan      59.143       0.000       0.000       0.000       0.000   -1190.462      32.022     -24.826     -18.766      30.868     520.961     -16.109     -12.306     -12.652     -75.155             -4.000        -73.262          -2.003          0.000         57.027 complex_global_dock_00025
SCORE:    -766.814      38.450         nan      -2.703         nan      38.607       0.000       0.000       0.000       0.000   -1188.705      32.008     -24.882     -18.597      30.563     518.996     -15.879     -12.306     -12.858     -75.155              5.000        -75.460          -2.064          0.004         38.560 complex_global_dock_00026
SCORE:    -765.212      78.712         nan      -1.192         nan      80.297       0.000       0.000       0.000       0.000   -1187.057      31.945     -24.760     -18.084      30.636     517.876     -15.924     -12.306     -12.382     -75.155              1.000        -71.204          -0.598          0.365         80.224 complex_global_dock_00027
SCORE:    -768.669      50.676         nan      -4.452         nan      49.826       0.000       0.000       0.000       0.000   -1195.646      32.128     -24.704     -18.826      30.731     524.303     -16.387     -12.306     -12.807     -75.155            -15.000        -67.395           1.804          0.016         50.327 complex_global_dock_00028
SCORE:    -765.259     103.902         nan      -0.631         nan      98.583       0.000       0.000       0.000       0.000   -1186.747      31.741     -24.841     -17.785      30.520     517.761     -15.767     -12.306     -12.680     -75.155             14.000        -79.686           0.751          0.007         96.895 complex_global_dock_00029
SCORE:    -767.815      47.709         nan      -2.907         nan      52.940       0.000       0.000       0.000       0.000   -1190.839      32.052     -24.681     -18.384      30.950     519.980     -16.391     -12.306     -13.041     -75.155              0.000        -71.407           1.052          0.331         52.670 complex_global_dock_00030
SCORE:    -766.173     102.906         nan      -1.954         nan     102.431       0.000       0.000       0.000       0.000   -1191.785      32.023     -24.797     -18.040      30.759     521.841     -15.953     -12.306     -12.759     -75.155              2.000        -72.992          -0.572          0.221        103.034 complex_global_dock_00031
SCORE:    -767.362      90.102         nan      -3.360         nan      90.998       0.000       0.000       0.000       0.000   -1191.276      32.188     -24.824     -18.609      30.619     520.667     -16.006     -12.306     -12.661     -75.155              3.000        -70.607          -1.982          0.000         90.463 complex_global_dock_00032
