total_score	I_sc	description
-769.064	-4.762	complex_global_dock_00206
-768.353	-4.758	complex_global_dock_07070
-768.495	-4.758	complex_global_dock_03540
-767.597	-4.757	complex_global_dock_01311
-769.738	-4.753	complex_global_dock_06300
-768.334	-4.742	complex_global_dock_01204
-768.654	-4.742	complex_global_dock_00963
-769.496	-4.735	complex_global_dock_08637
-768.411	-4.733	complex_global_dock_09247
-768.508	-4.720	complex_global_dock_05468
-768.562	-4.719	complex_global_dock_01043
-769.119	-4.719	complex_global_dock_09135
-768.990	-4.713	complex_global_dock_08569
-769.237	-4.704	complex_global_dock_07166
-769.609	-4.704	complex_global_dock_01548
-768.425	-4.703	complex_global_dock_02687
-768.377	-4.701	complex_global_dock_01182
-769.110	-4.699	complex_global_dock_04121
-768.805	-4.694	complex_global_dock_01810
-768.937	-4.693	complex_global_dock_08341
-767.715	-4.692	complex_global_dock_00624
-768.080	-4.692	complex_global_dock_00806
-768.151	-4.690	complex_global_dock_02616
-768.067	-4.685	complex_global_dock_09807
-769.284	-4.684	complex_global_dock_09907
-768.444	-4.683	complex_global_dock_06131
-766.421	-4.681	complex_global_dock_04210
-768.640	-4.681	complex_global_dock_01861
-768.310	-4.679	complex_global_dock_04779
-767.832	-4.678	complex_global_dock_00507
-768.505	-4.678	complex_global_dock_08278
-767.910	-4.671	complex_global_dock_01804
-768.941	-4.670	complex_global_dock_05223
-768.378	-4.668	complex_global_dock_02454
-769.009	-4.668	complex_global_dock_02898
-769.570	-4.667	complex_global_dock_07466
-768.274	-4.663	complex_global_dock_04986
-765.050	-4.661	complex_global_dock_01099
-768.480	-4.661	complex_global_dock_09864
-769.573	-4.656	complex_global_dock_01187
-768.894	-4.647	complex_global_dock_04658
-769.296	-4.646	complex_global_dock_04567
-768.311	-4.645	complex_global_dock_06619
-768.283	-4.644	complex_global_dock_07614
-768.514	-4.644	complex_global_dock_06284
-768.688	-4.640	complex_global_dock_07701
-769.152	-4.637	complex_global_dock_04538
-766.781	-4.635	complex_global_dock_05947
-767.867	-4.635	complex_global_dock_00757
-768.653	-4.635	complex_global_dock_00144
-768.424	-4.633	complex_global_dock_02100
-769.125	-4.633	complex_global_dock_02631
-768.693	-4.622	complex_global_dock_04907
-768.021	-4.617	complex_global_dock_01565
-768.400	-4.615	complex_global_dock_06672
-768.636	-4.614	complex_global_dock_05339
-768.025	-4.607	complex_global_dock_05215
-768.665	-4.606	complex_global_dock_06839
-768.863	-4.598	complex_global_dock_01624
-768.780	-4.593	complex_global_dock_01940
-767.816	-4.592	complex_global_dock_05686
-767.892	-4.583	complex_global_dock_01912
-768.673	-4.580	complex_global_dock_02740
-768.902	-4.577	complex_global_dock_01765
-768.343	-4.575	complex_global_dock_07378
-768.004	-4.572	complex_global_dock_01419
-767.717	-4.566	complex_global_dock_08322
-768.797	-4.562	complex_global_dock_01513
-769.365	-4.558	complex_global_dock_09372
-768.021	-4.557	complex_global_dock_01773
-768.003	-4.553	complex_global_dock_02186
-768.127	-4.553	complex_global_dock_00768
-769.161	-4.552	complex_global_dock_03531
-768.288	-4.551	complex_global_dock_09716
-768.679	-4.550	complex_global_dock_08429
-768.699	-4.550	complex_global_dock_07903
-767.972	-4.549	complex_global_dock_06650
-767.510	-4.545	complex_global_dock_09890
-767.759	-4.545	complex_global_dock_01844
-768.856	-4.541	complex_global_dock_02236
-768.489	-4.540	complex_global_dock_09059
-768.235	-4.536	complex_global_dock_01260
-768.682	-4.534	complex_global_dock_05675
-769.024	-4.533	complex_global_dock_00241
-768.662	-4.532	complex_global_dock_03448
-768.161	-4.529	complex_global_dock_06320
-769.471	-4.522	complex_global_dock_04676
-768.345	-4.520	complex_global_dock_05431
-769.134	-4.517	complex_global_dock_00379
-767.611	-4.511	complex_global_dock_07853
-767.583	-4.508	complex_global_dock_01237
-767.607	-4.505	complex_global_dock_08079
-766.419	-4.500	complex_global_dock_00497
-769.142	-4.500	complex_global_dock_09326
-768.211	-4.493	complex_global_dock_04091
-766.512	-4.490	complex_global_dock_04959
-766.746	-4.490	complex_global_dock_03906
-768.612	-4.489	complex_global_dock_01994
-768.308	-4.488	complex_global_dock_09697
-768.560	-4.485	complex_global_dock_02060
-768.292	-4.483	complex_global_dock_04823
-768.438	-4.476	complex_global_dock_01361
-768.444	-4.473	complex_global_dock_04716
-768.095	-4.471	complex_global_dock_02468
-768.598	-4.470	complex_global_dock_07371
-768.508	-4.469	complex_global_dock_03559
-768.466	-4.468	complex_global_dock_08002
-768.715	-4.467	complex_global_dock_03537
-768.606	-4.463	complex_global_dock_05047
-768.548	-4.461	complex_global_dock_08233
-768.766	-4.460	complex_global_dock_06556
-768.941	-4.459	complex_global_dock_01034
-767.943	-4.457	complex_global_dock_03023
