total_score	I_sc	description
-767.017	-3.292	complex_global_dock_08904
-767.303	-3.292	complex_global_dock_09757
-767.331	-3.292	complex_global_dock_09131
-767.733	-3.292	complex_global_dock_04880
-768.013	-3.292	complex_global_dock_08988
-767.896	-3.291	complex_global_dock_09563
-768.023	-3.291	complex_global_dock_06703
-768.048	-3.291	complex_global_dock_05210
-765.567	-3.290	complex_global_dock_03707
-766.859	-3.290	complex_global_dock_03393
-767.157	-3.290	complex_global_dock_03017
-767.348	-3.290	complex_global_dock_03887
-767.520	-3.289	complex_global_dock_09660
-767.774	-3.289	complex_global_dock_05062
-767.011	-3.288	complex_global_dock_05383
-766.588	-3.287	complex_global_dock_08752
-767.355	-3.287	complex_global_dock_03526
-767.866	-3.287	complex_global_dock_01402
-766.648	-3.286	complex_global_dock_02904
-766.945	-3.286	complex_global_dock_08770
-767.788	-3.286	complex_global_dock_05227
-768.150	-3.286	complex_global_dock_08691
-766.019	-3.285	complex_global_dock_07011
-766.847	-3.285	complex_global_dock_02826
-768.711	-3.285	complex_global_dock_05754
-767.323	-3.284	complex_global_dock_09518
-768.087	-3.283	complex_global_dock_01968
-766.522	-3.282	complex_global_dock_03415
-767.260	-3.282	complex_global_dock_09005
-767.437	-3.282	complex_global_dock_00296
-767.653	-3.282	complex_global_dock_01076
-766.758	-3.281	complex_global_dock_01862
-767.478	-3.281	complex_global_dock_02184
-767.635	-3.281	complex_global_dock_04379
-767.310	-3.280	complex_global_dock_05711
-767.332	-3.280	complex_global_dock_00242
-767.133	-3.279	complex_global_dock_05993
-767.916	-3.279	complex_global_dock_03893
-767.067	-3.278	complex_global_dock_06287
-767.475	-3.278	complex_global_dock_02200
-767.648	-3.278	complex_global_dock_09225
-768.060	-3.278	complex_global_dock_03281
-767.242	-3.276	complex_global_dock_07939
-767.398	-3.276	complex_global_dock_02197
-767.724	-3.276	complex_global_dock_04748
-767.032	-3.275	complex_global_dock_02233
-767.099	-3.275	complex_global_dock_03964
-767.280	-3.275	complex_global_dock_06531
-766.747	-3.274	complex_global_dock_07184
-765.925	-3.273	complex_global_dock_05143
-767.198	-3.273	complex_global_dock_05443
-767.328	-3.273	complex_global_dock_06581
-767.391	-3.273	complex_global_dock_09995
-767.995	-3.273	complex_global_dock_09817
-767.539	-3.272	complex_global_dock_04644
-767.554	-3.272	complex_global_dock_02681
-767.754	-3.272	complex_global_dock_08394
-767.583	-3.271	complex_global_dock_08768
-767.891	-3.271	complex_global_dock_04459
-766.819	-3.270	complex_global_dock_07474
-767.292	-3.270	complex_global_dock_01582
-767.788	-3.270	complex_global_dock_03390
-768.079	-3.270	complex_global_dock_00983
-765.737	-3.269	complex_global_dock_01200
-765.795	-3.269	complex_global_dock_01736
-766.116	-3.269	complex_global_dock_04286
-766.249	-3.269	complex_global_dock_07069
-766.413	-3.269	complex_global_dock_02189
-766.497	-3.269	complex_global_dock_02732
-768.110	-3.269	complex_global_dock_08803
-766.759	-3.268	complex_global_dock_00978
-767.348	-3.268	complex_global_dock_05603
-767.451	-3.268	complex_global_dock_00853
-767.641	-3.268	complex_global_dock_08312
-767.085	-3.267	complex_global_dock_09195
-768.008	-3.267	complex_global_dock_00195
-767.166	-3.266	complex_global_dock_08795
-767.643	-3.266	complex_global_dock_05160
-767.695	-3.266	complex_global_dock_07794
-767.368	-3.265	complex_global_dock_04291
-767.597	-3.265	complex_global_dock_07337
-767.866	-3.265	complex_global_dock_01450
-764.595	-3.264	complex_global_dock_07266
-766.954	-3.264	complex_global_dock_01141
-767.214	-3.264	complex_global_dock_00837
-767.766	-3.264	complex_global_dock_04098
-767.840	-3.264	complex_global_dock_03179
-768.435	-3.264	complex_global_dock_02247
-763.040	-3.263	complex_global_dock_01326
-767.374	-3.263	complex_global_dock_03984
-767.420	-3.263	complex_global_dock_05511
-768.282	-3.262	complex_global_dock_00267
-762.564	-3.261	complex_global_dock_07781
-767.675	-3.261	complex_global_dock_06641
-767.733	-3.260	complex_global_dock_07722
-766.938	-3.258	complex_global_dock_06151
-767.702	-3.258	complex_global_dock_09567
-767.853	-3.258	complex_global_dock_06767
-767.931	-3.258	complex_global_dock_08244
-767.312	-3.257	complex_global_dock_03996
-767.336	-3.257	complex_global_dock_06152
-768.103	-3.257	complex_global_dock_09879
-767.264	-3.256	complex_global_dock_03365
-767.279	-3.256	complex_global_dock_08158
-768.213	-3.256	complex_global_dock_04911
-767.528	-3.255	complex_global_dock_04982
-767.646	-3.255	complex_global_dock_06486
-767.295	-3.254	complex_global_dock_06667
-767.300	-3.254	complex_global_dock_01303
-767.795	-3.254	complex_global_dock_00944
-767.443	-3.253	complex_global_dock_00405
-766.732	-3.252	complex_global_dock_02731
-767.128	-3.252	complex_global_dock_04239
-767.348	-3.252	complex_global_dock_01163
-765.793	-3.251	complex_global_dock_01695
-766.792	-3.251	complex_global_dock_09318
-767.338	-3.251	complex_global_dock_02991
-767.919	-3.251	complex_global_dock_00323
-766.785	-3.250	complex_global_dock_07023
-767.541	-3.250	complex_global_dock_05622
-767.556	-3.250	complex_global_dock_06346
-767.667	-3.250	complex_global_dock_05694
-767.710	-3.250	complex_global_dock_03872
-768.050	-3.250	complex_global_dock_06929
-768.406	-3.250	complex_global_dock_08901
-767.188	-3.249	complex_global_dock_04592
-766.050	-3.248	complex_global_dock_01740
-767.811	-3.248	complex_global_dock_02771
-768.225	-3.248	complex_global_dock_06924
-766.957	-3.247	complex_global_dock_06944
-767.572	-3.247	complex_global_dock_04856
-767.973	-3.247	complex_global_dock_07970
-767.816	-3.246	complex_global_dock_00815
-765.511	-3.245	complex_global_dock_06640
-767.479	-3.245	complex_global_dock_02139
-768.020	-3.245	complex_global_dock_03313
-768.676	-3.245	complex_global_dock_01665
-766.409	-3.244	complex_global_dock_00791
-767.662	-3.244	complex_global_dock_07297
-768.069	-3.244	complex_global_dock_02533
-766.451	-3.243	complex_global_dock_06104
-766.776	-3.243	complex_global_dock_08042
-766.782	-3.243	complex_global_dock_02702
-765.384	-3.241	complex_global_dock_07394
-765.766	-3.241	complex_global_dock_02201
-767.142	-3.241	complex_global_dock_04322
-767.200	-3.241	complex_global_dock_00452
-767.611	-3.241	complex_global_dock_07845
-767.723	-3.241	complex_global_dock_07932
-767.798	-3.241	complex_global_dock_04679
-767.812	-3.241	complex_global_dock_07156
-767.262	-3.240	complex_global_dock_05499
-767.721	-3.240	complex_global_dock_05918
-768.122	-3.240	complex_global_dock_05158
-766.707	-3.239	complex_global_dock_06729
-767.429	-3.239	complex_global_dock_02257
-767.482	-3.239	complex_global_dock_07753
-766.724	-3.237	complex_global_dock_02317
-767.112	-3.237	complex_global_dock_08621
-767.425	-3.237	complex_global_dock_00485
-767.458	-3.237	complex_global_dock_00693
-767.644	-3.237	complex_global_dock_01027
-767.276	-3.236	complex_global_dock_00814
-767.859	-3.236	complex_global_dock_06996
-767.305	-3.235	complex_global_dock_09428
-767.845	-3.235	complex_global_dock_00359
-768.080	-3.235	complex_global_dock_08865
-767.187	-3.234	complex_global_dock_05803
-767.857	-3.234	complex_global_dock_06574
-761.799	-3.233	complex_global_dock_05337
-767.507	-3.233	complex_global_dock_00446
-767.622	-3.233	complex_global_dock_00239
-767.283	-3.232	complex_global_dock_01305
-767.503	-3.232	complex_global_dock_09677
-767.237	-3.231	complex_global_dock_05032
-765.605	-3.230	complex_global_dock_02764
-765.811	-3.230	complex_global_dock_01528
-766.277	-3.230	complex_global_dock_08680
-766.895	-3.230	complex_global_dock_06670
-767.486	-3.230	complex_global_dock_01784
-767.549	-3.229	complex_global_dock_01385
-767.195	-3.228	complex_global_dock_02643
-767.395	-3.228	complex_global_dock_01711
-767.399	-3.227	complex_global_dock_09521
-767.238	-3.226	complex_global_dock_04234
-767.441	-3.226	complex_global_dock_07586
-767.467	-3.226	complex_global_dock_01033
-767.492	-3.226	complex_global_dock_03296
-767.850	-3.226	complex_global_dock_09434
-768.003	-3.226	complex_global_dock_09467
-766.946	-3.225	complex_global_dock_00720
-767.213	-3.225	complex_global_dock_05453
-767.224	-3.225	complex_global_dock_04677
-767.295	-3.225	complex_global_dock_00552
-767.486	-3.225	complex_global_dock_05636
-767.953	-3.224	complex_global_dock_07698
-766.438	-3.223	complex_global_dock_06108
-767.944	-3.223	complex_global_dock_08544
-768.022	-3.223	complex_global_dock_03314
-767.096	-3.222	complex_global_dock_06024
-766.801	-3.221	complex_global_dock_08305
-767.137	-3.221	complex_global_dock_08776
-767.208	-3.221	complex_global_dock_05276
-767.331	-3.221	complex_global_dock_06963
-767.808	-3.221	complex_global_dock_00187
-766.852	-3.220	complex_global_dock_06878
-766.872	-3.220	complex_global_dock_06722
-767.924	-3.220	complex_global_dock_00500
-766.878	-3.219	complex_global_dock_06035
-767.374	-3.219	complex_global_dock_09233
-767.711	-3.219	complex_global_dock_03595
-767.133	-3.218	complex_global_dock_09088
-767.523	-3.218	complex_global_dock_01820
-767.171	-3.216	complex_global_dock_05004
-767.676	-3.216	complex_global_dock_05085
-767.171	-3.215	complex_global_dock_09552
-768.088	-3.215	complex_global_dock_00156
-759.069	-3.214	complex_global_dock_08706
-766.496	-3.213	complex_global_dock_03333
-766.790	-3.213	complex_global_dock_03930
-767.128	-3.213	complex_global_dock_03094
-767.383	-3.213	complex_global_dock_04670
-766.206	-3.212	complex_global_dock_01937
-767.075	-3.212	complex_global_dock_00575
-768.157	-3.212	complex_global_dock_05585
-766.323	-3.211	complex_global_dock_04808
-767.021	-3.211	complex_global_dock_02301
-767.024	-3.211	complex_global_dock_09203
-767.162	-3.211	complex_global_dock_05869
-767.553	-3.211	complex_global_dock_06927
-767.733	-3.211	complex_global_dock_05875
-767.742	-3.211	complex_global_dock_06762
-766.955	-3.210	complex_global_dock_02181
-767.073	-3.210	complex_global_dock_02375
-767.440	-3.210	complex_global_dock_02421
-767.825	-3.210	complex_global_dock_06669
-765.338	-3.209	complex_global_dock_09793
-766.502	-3.209	complex_global_dock_02264
-767.921	-3.209	complex_global_dock_03226
-767.078	-3.208	complex_global_dock_07082
-767.453	-3.208	complex_global_dock_07559
-766.355	-3.207	complex_global_dock_04990
-767.705	-3.206	complex_global_dock_09229
-767.183	-3.205	complex_global_dock_02798
-767.391	-3.204	complex_global_dock_03840
-767.436	-3.204	complex_global_dock_08695
-767.241	-3.203	complex_global_dock_02062
-767.519	-3.203	complex_global_dock_00484
-767.242	-3.202	complex_global_dock_07490
-768.363	-3.201	complex_global_dock_09970
-766.871	-3.200	complex_global_dock_07382
-767.127	-3.200	complex_global_dock_02276
-767.623	-3.200	complex_global_dock_04559
-767.704	-3.200	complex_global_dock_05330
-765.800	-3.198	complex_global_dock_04961
-767.613	-3.198	complex_global_dock_09207
-767.616	-3.198	complex_global_dock_09373
-767.670	-3.198	complex_global_dock_09593
-766.173	-3.197	complex_global_dock_03733
-766.775	-3.197	complex_global_dock_00012
-767.007	-3.197	complex_global_dock_05145
-767.110	-3.197	complex_global_dock_09218
-767.203	-3.197	complex_global_dock_05515
-768.048	-3.197	complex_global_dock_06510
-767.104	-3.196	complex_global_dock_07136
-767.399	-3.196	complex_global_dock_00630
-767.569	-3.196	complex_global_dock_01083
-767.715	-3.196	complex_global_dock_09738
-767.740	-3.196	complex_global_dock_09058
-766.985	-3.195	complex_global_dock_06021
-767.320	-3.195	complex_global_dock_07606
-767.791	-3.195	complex_global_dock_07660
-768.128	-3.195	complex_global_dock_05262
-768.139	-3.195	complex_global_dock_06274
-765.989	-3.194	complex_global_dock_05061
-767.501	-3.194	complex_global_dock_03895
-766.399	-3.193	complex_global_dock_01579
-766.797	-3.193	complex_global_dock_03676
-767.539	-3.193	complex_global_dock_05207
-767.577	-3.193	complex_global_dock_04378
-767.099	-3.192	complex_global_dock_08602
-767.122	-3.192	complex_global_dock_02921
-767.177	-3.192	complex_global_dock_07387
-767.592	-3.192	complex_global_dock_01826
-766.745	-3.191	complex_global_dock_02779
-767.534	-3.190	complex_global_dock_02648
-767.769	-3.190	complex_global_dock_08585
-767.995	-3.190	complex_global_dock_01596
-766.702	-3.189	complex_global_dock_05783
-767.476	-3.189	complex_global_dock_07043
-767.388	-3.188	complex_global_dock_08243
-767.641	-3.188	complex_global_dock_04440
-765.465	-3.187	complex_global_dock_01084
-766.247	-3.187	complex_global_dock_09440
-767.423	-3.187	complex_global_dock_05909
-767.341	-3.186	complex_global_dock_05502
-767.583	-3.186	complex_global_dock_01981
-767.251	-3.185	complex_global_dock_07097
-766.639	-3.184	complex_global_dock_00107
-767.586	-3.184	complex_global_dock_08777
-766.984	-3.183	complex_global_dock_09298
-767.346	-3.183	complex_global_dock_03883
-767.694	-3.183	complex_global_dock_01309
-766.715	-3.182	complex_global_dock_00429
-767.141	-3.182	complex_global_dock_01109
-767.535	-3.181	complex_global_dock_08837
-767.848	-3.181	complex_global_dock_03070
-761.931	-3.180	complex_global_dock_08320
-766.977	-3.180	complex_global_dock_06683
-767.709	-3.180	complex_global_dock_01605
-767.128	-3.179	complex_global_dock_04847
-767.627	-3.179	complex_global_dock_04811
-767.638	-3.179	complex_global_dock_02135
-767.660	-3.179	complex_global_dock_00916
-767.251	-3.178	complex_global_dock_08675
-767.793	-3.178	complex_global_dock_09571
-767.805	-3.178	complex_global_dock_08259
-767.493	-3.177	complex_global_dock_01462
-767.506	-3.177	complex_global_dock_06945
-766.958	-3.176	complex_global_dock_09760
-767.053	-3.176	complex_global_dock_06163
-767.075	-3.176	complex_global_dock_03257
-767.563	-3.176	complex_global_dock_09856
-767.421	-3.175	complex_global_dock_03012
-767.627	-3.174	complex_global_dock_04558
-766.303	-3.173	complex_global_dock_04730
-766.962	-3.173	complex_global_dock_07577
-767.574	-3.173	complex_global_dock_05020
-767.640	-3.173	complex_global_dock_01812
-767.340	-3.172	complex_global_dock_09713
-768.384	-3.172	complex_global_dock_04112
-766.992	-3.170	complex_global_dock_09404
-767.292	-3.170	complex_global_dock_04775
-767.361	-3.170	complex_global_dock_00788
-768.151	-3.170	complex_global_dock_08578
-765.041	-3.169	complex_global_dock_09034
-766.422	-3.169	complex_global_dock_02418
-766.468	-3.169	complex_global_dock_07322
-767.103	-3.169	complex_global_dock_02759
-767.390	-3.169	complex_global_dock_02925
-767.932	-3.169	complex_global_dock_08317
-766.746	-3.167	complex_global_dock_05829
-766.840	-3.167	complex_global_dock_08914
-767.013	-3.167	complex_global_dock_09573
-767.294	-3.167	complex_global_dock_00061
-767.349	-3.167	complex_global_dock_06655
-766.496	-3.166	complex_global_dock_07841
-767.476	-3.166	complex_global_dock_07223
-767.683	-3.166	complex_global_dock_07576
-766.526	-3.165	complex_global_dock_00707
-767.312	-3.165	complex_global_dock_00625
-766.574	-3.164	complex_global_dock_07818
-767.323	-3.164	complex_global_dock_09078
-767.397	-3.164	complex_global_dock_01973
-767.519	-3.164	complex_global_dock_02586
-767.539	-3.164	complex_global_dock_03836
-767.652	-3.164	complex_global_dock_03404
-767.570	-3.162	complex_global_dock_01437
-767.729	-3.162	complex_global_dock_00745
-767.946	-3.162	complex_global_dock_02974
-767.754	-3.161	complex_global_dock_09352
-766.876	-3.160	complex_global_dock_00949
-767.475	-3.160	complex_global_dock_02296
-767.685	-3.160	complex_global_dock_02361
-766.415	-3.159	complex_global_dock_07446
-766.894	-3.159	complex_global_dock_00210
-767.416	-3.159	complex_global_dock_03139
-768.136	-3.159	complex_global_dock_03242
-766.955	-3.158	complex_global_dock_08091
-766.981	-3.158	complex_global_dock_02315
-767.116	-3.158	complex_global_dock_01401
-764.114	-3.157	complex_global_dock_07395
-766.965	-3.157	complex_global_dock_07121
-767.287	-3.157	complex_global_dock_07292
-767.290	-3.157	complex_global_dock_09831
-767.694	-3.157	complex_global_dock_04109
-767.754	-3.157	complex_global_dock_08353
-767.660	-3.156	complex_global_dock_05059
-767.825	-3.156	complex_global_dock_05991
-766.643	-3.155	complex_global_dock_05605
-767.630	-3.155	complex_global_dock_03512
-767.658	-3.155	complex_global_dock_06620
-767.802	-3.155	complex_global_dock_01192
-768.244	-3.154	complex_global_dock_07677
-767.901	-3.153	complex_global_dock_08864
-767.046	-3.152	complex_global_dock_05513
-767.215	-3.152	complex_global_dock_00352
-767.258	-3.152	complex_global_dock_09504
-767.728	-3.152	complex_global_dock_03837
-766.895	-3.151	complex_global_dock_07141
-767.929	-3.151	complex_global_dock_08931
-766.358	-3.150	complex_global_dock_06621
-767.459	-3.150	complex_global_dock_03655
-767.338	-3.149	complex_global_dock_02032
-767.525	-3.149	complex_global_dock_05435
-767.831	-3.149	complex_global_dock_01556
-767.879	-3.149	complex_global_dock_08076
-767.883	-3.149	complex_global_dock_07122
-766.796	-3.148	complex_global_dock_02832
-767.182	-3.148	complex_global_dock_04577
-767.635	-3.148	complex_global_dock_06712
-767.650	-3.148	complex_global_dock_08908
-767.710	-3.148	complex_global_dock_09244
-767.791	-3.148	complex_global_dock_06513
-767.173	-3.147	complex_global_dock_03054
-767.431	-3.147	complex_global_dock_07198
-767.554	-3.147	complex_global_dock_00572
-767.563	-3.147	complex_global_dock_04909
-766.967	-3.146	complex_global_dock_01764
-767.135	-3.146	complex_global_dock_07890
-767.552	-3.146	complex_global_dock_09501
-767.746	-3.146	complex_global_dock_03479
-767.751	-3.146	complex_global_dock_05164
-767.946	-3.146	complex_global_dock_09776
-767.391	-3.145	complex_global_dock_06350
-767.679	-3.145	complex_global_dock_05338
-767.943	-3.145	complex_global_dock_05149
-766.927	-3.144	complex_global_dock_02316
-767.172	-3.144	complex_global_dock_00941
-767.407	-3.144	complex_global_dock_01965
-768.030	-3.144	complex_global_dock_02306
-766.663	-3.143	complex_global_dock_00967
-767.539	-3.143	complex_global_dock_06280
-767.643	-3.143	complex_global_dock_02268
-766.498	-3.142	complex_global_dock_09799
-767.859	-3.142	complex_global_dock_05136
-765.668	-3.141	complex_global_dock_04942
-766.312	-3.141	complex_global_dock_01974
-766.783	-3.141	complex_global_dock_09248
-767.572	-3.141	complex_global_dock_01095
-767.757	-3.141	complex_global_dock_05785
-767.401	-3.139	complex_global_dock_09142
-767.419	-3.139	complex_global_dock_09401
-766.588	-3.138	complex_global_dock_02615
-766.876	-3.138	complex_global_dock_05810
-767.301	-3.138	complex_global_dock_07651
-767.483	-3.138	complex_global_dock_08978
-767.505	-3.138	complex_global_dock_07416
-767.586	-3.138	complex_global_dock_06935
-766.920	-3.137	complex_global_dock_04875
-767.399	-3.137	complex_global_dock_02700
-767.470	-3.137	complex_global_dock_02756
-766.982	-3.136	complex_global_dock_06737
-767.263	-3.136	complex_global_dock_02350
-767.452	-3.136	complex_global_dock_05589
-767.593	-3.136	complex_global_dock_01249
-768.118	-3.136	complex_global_dock_05942
-767.205	-3.135	complex_global_dock_03538
-766.949	-3.134	complex_global_dock_09896
-767.039	-3.133	complex_global_dock_06859
-768.299	-3.133	complex_global_dock_03702
-764.421	-3.131	complex_global_dock_01414
-766.739	-3.131	complex_global_dock_08342
-766.917	-3.131	complex_global_dock_03969
-767.467	-3.131	complex_global_dock_01927
-767.800	-3.131	complex_global_dock_00247
-766.636	-3.130	complex_global_dock_01671
-767.306	-3.130	complex_global_dock_02945
-767.461	-3.130	complex_global_dock_01584
-767.703	-3.129	complex_global_dock_07116
-766.846	-3.128	complex_global_dock_08296
-767.081	-3.128	complex_global_dock_07812
-767.090	-3.128	complex_global_dock_05208
-767.537	-3.128	complex_global_dock_04336
-767.834	-3.128	complex_global_dock_07205
-767.572	-3.127	complex_global_dock_01719
-765.294	-3.126	complex_global_dock_07039
-766.607	-3.126	complex_global_dock_03649
-767.643	-3.126	complex_global_dock_03690
-767.492	-3.125	complex_global_dock_05553
-767.495	-3.125	complex_global_dock_09679
-766.866	-3.124	complex_global_dock_06841
-766.913	-3.124	complex_global_dock_06573
-767.092	-3.124	complex_global_dock_02491
-767.531	-3.124	complex_global_dock_02299
-767.606	-3.124	complex_global_dock_05752
-767.830	-3.124	complex_global_dock_06246
-766.452	-3.123	complex_global_dock_08115
-767.314	-3.123	complex_global_dock_03757
-767.337	-3.123	complex_global_dock_01270
-767.399	-3.123	complex_global_dock_00877
-767.610	-3.123	complex_global_dock_09908
-766.949	-3.122	complex_global_dock_01356
-767.290	-3.122	complex_global_dock_07960
-767.601	-3.122	complex_global_dock_03623
-767.782	-3.122	complex_global_dock_08840
-766.786	-3.121	complex_global_dock_03931
-766.810	-3.121	complex_global_dock_05238
-766.765	-3.120	complex_global_dock_09932
-766.982	-3.120	complex_global_dock_05999
-767.086	-3.120	complex_global_dock_06524
-767.241	-3.120	complex_global_dock_06545
-767.406	-3.120	complex_global_dock_01472
-767.241	-3.119	complex_global_dock_07920
-767.551	-3.119	complex_global_dock_00542
-766.830	-3.118	complex_global_dock_06260
-768.005	-3.118	complex_global_dock_00781
-767.074	-3.117	complex_global_dock_06527
-766.347	-3.116	complex_global_dock_02793
-766.383	-3.116	complex_global_dock_06252
-767.027	-3.116	complex_global_dock_07709
-767.307	-3.116	complex_global_dock_01542
-767.319	-3.116	complex_global_dock_08297
-764.394	-3.115	complex_global_dock_06285
-767.451	-3.115	complex_global_dock_08335
-767.814	-3.115	complex_global_dock_05299
-767.428	-3.114	complex_global_dock_05388
-767.701	-3.114	complex_global_dock_02887
-767.091	-3.113	complex_global_dock_00488
-767.508	-3.113	complex_global_dock_01760
-766.552	-3.112	complex_global_dock_07247
-766.723	-3.112	complex_global_dock_09230
-766.747	-3.112	complex_global_dock_09370
-767.330	-3.112	complex_global_dock_00432
-767.702	-3.112	complex_global_dock_07013
-767.926	-3.111	complex_global_dock_04180
-767.630	-3.110	complex_global_dock_07068
-767.769	-3.110	complex_global_dock_04697
-766.689	-3.109	complex_global_dock_00234
-767.979	-3.109	complex_global_dock_08655
-767.134	-3.108	complex_global_dock_03694
-767.547	-3.108	complex_global_dock_09916
-767.574	-3.108	complex_global_dock_09630
-767.862	-3.108	complex_global_dock_08896
-766.413	-3.107	complex_global_dock_07024
-766.670	-3.107	complex_global_dock_06696
-767.290	-3.107	complex_global_dock_00996
-767.635	-3.107	complex_global_dock_00270
-767.171	-3.106	complex_global_dock_03738
-767.687	-3.106	complex_global_dock_07718
-767.627	-3.105	complex_global_dock_06023
-767.558	-3.104	complex_global_dock_04790
-767.591	-3.104	complex_global_dock_03001
-767.788	-3.104	complex_global_dock_09114
-768.056	-3.104	complex_global_dock_02244
-766.860	-3.103	complex_global_dock_02481
-767.336	-3.103	complex_global_dock_05617
-767.387	-3.103	complex_global_dock_09212
-767.784	-3.103	complex_global_dock_01136
-767.175	-3.102	complex_global_dock_01357
-767.286	-3.102	complex_global_dock_02698
-767.379	-3.102	complex_global_dock_04725
-767.517	-3.102	complex_global_dock_07602
-767.560	-3.102	complex_global_dock_08449
-767.008	-3.101	complex_global_dock_02655
-767.236	-3.101	complex_global_dock_00391
-767.426	-3.101	complex_global_dock_04259
-763.758	-3.100	complex_global_dock_05273
-765.563	-3.100	complex_global_dock_07582
-765.673	-3.100	complex_global_dock_05980
-766.192	-3.100	complex_global_dock_01327
-766.842	-3.100	complex_global_dock_04752
-767.072	-3.100	complex_global_dock_02884
-767.131	-3.100	complex_global_dock_04444
-767.398	-3.100	complex_global_dock_09066
-767.863	-3.100	complex_global_dock_06819
-768.240	-3.100	complex_global_dock_04625
-767.504	-3.099	complex_global_dock_05931
-767.599	-3.099	complex_global_dock_06854
-767.910	-3.099	complex_global_dock_00418
-768.005	-3.099	complex_global_dock_07310
-766.950	-3.098	complex_global_dock_07987
-767.037	-3.098	complex_global_dock_06643
-767.050	-3.098	complex_global_dock_09426
-767.058	-3.098	complex_global_dock_08098
-767.089	-3.098	complex_global_dock_04793
-767.137	-3.098	complex_global_dock_05165
-767.318	-3.098	complex_global_dock_05129
-767.408	-3.098	complex_global_dock_08036
-766.746	-3.097	complex_global_dock_04306
-767.039	-3.097	complex_global_dock_06418
-767.160	-3.097	complex_global_dock_03066
-767.269	-3.097	complex_global_dock_08716
-767.412	-3.097	complex_global_dock_03614
-766.903	-3.096	complex_global_dock_00706
-767.279	-3.096	complex_global_dock_09489
-767.397	-3.096	complex_global_dock_06243
-767.609	-3.096	complex_global_dock_05204
-767.731	-3.096	complex_global_dock_08834
-766.776	-3.095	complex_global_dock_01294
-767.376	-3.095	complex_global_dock_01374
-767.646	-3.095	complex_global_dock_04900
-767.646	-3.094	complex_global_dock_03718
-767.859	-3.094	complex_global_dock_03367
-766.661	-3.093	complex_global_dock_08721
-766.715	-3.093	complex_global_dock_01833
-766.766	-3.093	complex_global_dock_02048
-767.373	-3.092	complex_global_dock_08273
-767.496	-3.092	complex_global_dock_00095
-767.698	-3.092	complex_global_dock_03119
-767.699	-3.092	complex_global_dock_04353
-767.041	-3.091	complex_global_dock_01581
-767.515	-3.091	complex_global_dock_00259
-767.095	-3.090	complex_global_dock_08074
-765.866	-3.089	complex_global_dock_04999
-767.166	-3.089	complex_global_dock_06517
-768.078	-3.089	complex_global_dock_01660
-766.733	-3.088	complex_global_dock_04510
-766.897	-3.088	complex_global_dock_08282
-766.917	-3.088	complex_global_dock_05826
-767.001	-3.088	complex_global_dock_06745
-767.113	-3.088	complex_global_dock_07347
-767.144	-3.088	complex_global_dock_08362
-767.444	-3.088	complex_global_dock_08431
-767.477	-3.088	complex_global_dock_02180
-767.694	-3.088	complex_global_dock_06179
-767.084	-3.087	complex_global_dock_01015
-767.260	-3.087	complex_global_dock_07632
-767.265	-3.087	complex_global_dock_04968
-767.289	-3.087	complex_global_dock_02015
-767.801	-3.087	complex_global_dock_05198
-768.395	-3.087	complex_global_dock_09194
-766.537	-3.086	complex_global_dock_02827
-766.864	-3.086	complex_global_dock_08004
-767.388	-3.086	complex_global_dock_02676
-768.105	-3.086	complex_global_dock_01877
-764.743	-3.085	complex_global_dock_03283
-767.295	-3.085	complex_global_dock_05640
-767.490	-3.085	complex_global_dock_00714
-766.864	-3.084	complex_global_dock_09800
-767.371	-3.084	complex_global_dock_01782
-767.556	-3.084	complex_global_dock_01893
-767.577	-3.084	complex_global_dock_07429
-766.814	-3.083	complex_global_dock_09093
-767.766	-3.083	complex_global_dock_06777
-767.646	-3.082	complex_global_dock_02899
-767.160	-3.081	complex_global_dock_08873
-767.437	-3.081	complex_global_dock_05107
-767.892	-3.081	complex_global_dock_08206
-767.290	-3.080	complex_global_dock_08139
-767.566	-3.080	complex_global_dock_09381
-768.473	-3.080	complex_global_dock_08993
-766.939	-3.079	complex_global_dock_04246
-767.477	-3.079	complex_global_dock_04118
-766.672	-3.078	complex_global_dock_09748
-767.057	-3.078	complex_global_dock_06379
-767.065	-3.078	complex_global_dock_03072
-767.576	-3.078	complex_global_dock_02584
-767.194	-3.077	complex_global_dock_01795
-767.269	-3.077	complex_global_dock_04784
-767.302	-3.077	complex_global_dock_06471
-768.124	-3.077	complex_global_dock_04302
-767.433	-3.076	complex_global_dock_04489
-766.562	-3.075	complex_global_dock_07682
-766.978	-3.075	complex_global_dock_02458
-767.482	-3.075	complex_global_dock_03491
-767.522	-3.075	complex_global_dock_05459
-766.074	-3.074	complex_global_dock_06194
-767.913	-3.074	complex_global_dock_04348
-766.591	-3.073	complex_global_dock_03953
-767.174	-3.073	complex_global_dock_09576
-767.243	-3.072	complex_global_dock_08738
-767.295	-3.072	complex_global_dock_09080
-767.361	-3.072	complex_global_dock_02265
-767.587	-3.072	complex_global_dock_06890
-766.605	-3.071	complex_global_dock_04404
-767.296	-3.071	complex_global_dock_02960
-767.627	-3.071	complex_global_dock_04324
-766.529	-3.070	complex_global_dock_02891
-766.917	-3.070	complex_global_dock_01705
-767.212	-3.070	complex_global_dock_09797
-767.718	-3.070	complex_global_dock_04044
-768.106	-3.070	complex_global_dock_03355
-765.698	-3.069	complex_global_dock_02743
-767.316	-3.069	complex_global_dock_07749
-767.009	-3.068	complex_global_dock_06484
